"Name","Gender","Department","Location","BonusRate","Salary","BonusAmount","TotalPaid","Rating"
"Stefa Eggleston","Male","Sales","Kaduna",0.021,88380,1856,90236,"Average"
"Dorolice Farry","Female","Sales","Kaduna",0.021,76300,1602,77902,"Average"
"Elliot Tuplin","Female","Sales","Kaduna",0.021,44530,935,45465,"Average"
"Iain Wiburn","Female","Sales","Kaduna",0.021,84760,1780,86540,"Average"
"Beatrix Schoales","Male","Sales","Kaduna",0.021,114010,2394,116404,"Average"
"Dyna Doucette","Male","Sales","Abuja",0.021,103550,2175,105725,"Average"
"Millie Fiveash","Female","Sales","Kaduna",0.021,57080,1199,58279,"Average"
"Carry Loblie","Female","Sales","Kaduna",0.021,47550,999,48549,"Average"
"Isadora Maunsell","Male","Sales","Abuja",0.021,78490,1648,80138,"Average"
"Florie Tortoise","Female","Sales","Abuja",0.021,35930,755,36685,"Average"
"Caro Chappel","Female","Sales","Kaduna",0.021,104410,2193,106603,"Average"
"Alexine Portail","Female","Sales","Lagos",0.021,60330,1267,61597,"Average"
"Duffie Ibel","Male","Sales","Kaduna",0.021,61010,1281,62291,"Average"
"Louise Lamming","Female","Sales","Lagos",0.021,41930,881,42811,"Average"
"Shelley Moncreiffe","Male","Sales","Abuja",0.021,108360,2276,110636,"Average"
"Brig Dewi","Male","Sales","Lagos",0.021,108250,2273,110523,"Average"
"Stan Tolliday","Female","Sales","Lagos",0.021,39540,830,40370,"Average"
"Fidela Artis","Female","Sales","Lagos",0.021,78020,1638,79658,"Average"
"Putnem Manchester","Male","Sales","Lagos",0.021,70360,1478,71838,"Average"
"Mariette Daymont","Female","Sales","Abuja",0.021,99530,2090,101620,"Average"
"Verney Sloegrave","Male","Sales","Kaduna",0.021,84500,1774,86274,"Average"
"Cathyleen Hurch","Female","Sales","Lagos",0.021,49390,1037,50427,"Average"
"Joyce Esel","Male","Sales","Kaduna",0.021,101390,2129,103519,"Average"
"Sandi Labat","Male","Sales","Abuja",0.021,60140,1263,61403,"Average"
"Francoise Godbold","Male","Sales","Kaduna",0.021,46350,973,47323,"Average"
"My Hanscome","Male","Sales","Lagos",0.021,59430,1248,60678,"Average"
"Pauletta Falkus","Male","Sales","Kaduna",0.021,33560,705,34265,"Average"
"Deck McCallion","Male","Sales","Abuja",0.021,33890,712,34602,"Average"
"Grady Crosgrove","Male","Sales","Kaduna",0.021,77910,1636,79546,"Average"
"Antonetta Coggeshall","Male","Sales","Kaduna",0.021,96750,2032,98782,"Average"
"Estell Kingsland","Male","Sales","Kaduna",0.021,32190,676,32866,"Average"
"Agnes Collicott","Female","Sales","Abuja",0.021,83750,1759,85509,"Average"
"Ambros Murthwaite","Male","Sales","Lagos",0.021,70610,1483,72093,"Average"
"Justino Chapiro","Male","Sales","Lagos",0.021,71030,1492,72522,"Average"
"Roselle Wandrach","Male","Sales","Abuja",0.021,91310,1918,93228,"Average"
"Lisle Danahar","Male","Sales","Kaduna",0.021,75990,1596,77586,"Average"
"Bryana Loyns","Male","Sales","Kaduna",0.021,55280,1161,56441,"Average"
"Tallie Chaikovski","Male","Sales","Lagos",0.021,83190,1747,84937,"Average"
"Freda Legan","Female","Sales","Kaduna",0.021,102130,2145,104275,"Average"
"Fairfax Wallsam","Male","Sales","Abuja",0.021,88590,1860,90450,"Average"
"Lion Adcock","Female","Legal","Lagos",0.021,63710,1338,65048,"Average"
"Rhianna McLeoid","Male","Legal","Kaduna",0.021,114900,2413,117313,"Average"
"Madelene Upcott","Male","Legal","Abuja",0.021,109190,2293,111483,"Average"
"Steven Labat","Male","Legal","Kaduna",0.021,37110,779,37889,"Average"
"Lanny Beaney","Male","Legal","Abuja",0.021,38730,813,39543,"Average"
"Ollie Schirak","Male","Legal","Lagos",0.021,48690,1022,49712,"Average"
"Desi Peniman","Female","Legal","Lagos",0.021,31090,653,31743,"Average"
"Mord Cromblehome","Male","Legal","Kaduna",0.021,57910,1216,59126,"Average"
"Wilt Wayvill","Female","Legal","Kaduna",0.021,99750,2095,101845,"Average"
"Cathi Gillbee","Male","Legal","Abuja",0.021,41790,878,42668,"Average"
"Shari Pickston","Male","Legal","Abuja",0.021,96320,2023,98343,"Average"
"Rodrigo Congdon","Female","Legal","Lagos",0.021,117940,2477,120417,"Average"
"Loralyn Bruton","Male","Legal","Abuja",0.021,39960,839,40799,"Average"
"Marline Wahncke","Male","Legal","Abuja",0.021,72840,1530,74370,"Average"
"Berenice Osbaldstone","Female","Legal","Abuja",0.021,58280,1224,59504,"Average"
"Carolina Blumsom","Male","Legal","Abuja",0.021,28580,600,29180,"Average"
"Baudoin Dummigan","Male","Legal","Kaduna",0.021,114510,2405,116915,"Average"
"Letizia Hasselby","Male","Legal","Abuja",0.021,61790,1298,63088,"Average"
"Mirna Etoile","Female","Legal","Kaduna",0.021,29970,629,30599,"Average"
"Derk Bosson","Female","Legal","Lagos",0.021,75870,1593,77463,"Average"
"Saunders Blumson","Male","Legal","Abuja",0.021,56370,1184,57554,"Average"
"Xylina Pargetter","Female","Legal","Kaduna",0.021,109790,2306,112096,"Average"
"Joshia Farris","Female","Legal","Kaduna",0.021,36740,772,37512,"Average"
"Sandy Cadden","Female","Legal","Lagos",0.021,95980,2016,97996,"Average"
"Trudie Couch","Female","Legal","Lagos",0.021,43110,905,44015,"Average"
"Eldredge MacClure","Male","Legal","Kaduna",0.021,46990,987,47977,"Average"
"Bebe Pollicott","Female","Legal","Kaduna",0.021,87740,1843,89583,"Average"
"Leela Eckart","Male","Legal","Kaduna",0.021,90340,1897,92237,"Average"
"Jori Ashleigh","Male","Legal","Abuja",0.021,64270,1350,65620,"Average"
"Eleni O'Quin","Male","Legal","Lagos",0.021,89020,1869,90889,"Average"
"Alic Bagg","Male","Legal","Kaduna",0.021,113750,2389,116139,"Average"
"Karita Vasyanin","Male","Legal","Lagos",0.021,93080,1955,95035,"Average"
"Sile Whorton","Female","Legal","Abuja",0.021,61210,1285,62495,"Average"
"Sandie Anthonies","Male","Legal","Kaduna",0.021,33410,702,34112,"Average"
"Hiram Merkle","Male","Legal","Kaduna",0.021,116090,2438,118528,"Average"
"Desi Peniman","Female","Legal","Kaduna",0.021,31090,653,31743,"Average"
"Granny Spencelayh","Male","Legal","Abuja",0.021,99460,2089,101549,"Average"
"Hedwiga Ingarfield","Female","Legal","Kaduna",0.021,38250,803,39053,"Average"
"Adey Ryal","Female","Legal","Lagos",0.021,32500,682,33182,"Average"
"Dyanne Strafen","Male","Engineering","Lagos",0.035,113800,3983,117783,"Average"
"Mable Phythian","Female","Engineering","Kaduna",0.035,30000,1050,31050,"Average"
"Konstanze Wyleman","Male","Engineering","Abuja",0.035,90800,3178,93978,"Average"
"Loren Rettie","Female","Engineering","Kaduna",0.035,96000,3360,99360,"Average"
"Courtney Given","Male","Engineering","Abuja",0.035,43600,1526,45126,"Average"
"Angeline Christophersen","Female","Engineering","Kaduna",0.035,86940,3043,89983,"Average"
"Tamara Couvet","Female","Engineering","Abuja",0.035,61050,2137,63187,"Average"
"Gigi Bohling","Male","Engineering","Lagos",0.035,74550,2609,77159,"Average"
"Lane Monteaux","Female","Engineering","Kaduna",0.035,109980,3849,113829,"Average"
"Honoria Cootes","Female","Engineering","Abuja",0.035,115640,4047,119687,"Average"
"Violetta Vial","Male","Engineering","Kaduna",0.035,68970,2414,71384,"Average"
"Luca Wolstenholme","Male","Engineering","Kaduna",0.035,53180,1861,55041,"Average"
"Ignacio Delion","Female","Engineering","Kaduna",0.035,113690,3979,117669,"Average"
"Maggee Stiggles","Female","Engineering","Abuja",0.035,38930,1363,40293,"Average"
"Granville Stetson","Female","Engineering","Lagos",0.035,111190,3892,115082,"Average"
"Eleonore Airdrie","Female","Engineering","Abuja",0.035,97110,3399,100509,"Average"
"Devinne Tuny","Male","Engineering","Kaduna",0.035,39970,1399,41369,"Average"
"Dotty Strutley","Female","Engineering","Lagos",0.035,41980,1469,43449,"Average"
"Korney Bockings","Male","Engineering","Lagos",0.035,40530,1419,41949,"Average"
"Kingsley Hagard","Male","Engineering","Kaduna",0.035,32810,1148,33958,"Average"
"Abran Danielsky","Female","Engineering","Kaduna",0.035,32720,1145,33865,"Average"
"Nelli Schoolfield","Female","Engineering","Kaduna",0.035,109870,3845,113715,"Average"
"Abigael Basire","Male","Engineering","Abuja",0.035,61620,2157,63777,"Average"
"Jehu Rudeforth","Female","Engineering","Abuja",0.035,60130,2105,62235,"Average"
"Ondrea Banfield","Female","Engineering","Kaduna",0.035,107790,3773,111563,"Average"
"Jeannie Petracco","Female","Engineering","Abuja",0.035,94820,3319,98139,"Average"
"Niko MacGille","Female","Engineering","Lagos",0.035,88430,3095,91525,"Average"
"Eward Astlett","Male","Engineering","Lagos",0.035,41670,1458,43128,"Average"
"Kelley Rounds","Female","Engineering","Kaduna",0.035,114810,4018,118828,"Average"
"Allene Gobbet","Female","Engineering","Abuja",0.035,78390,2744,81134,"Average"
"Jordain Cyster","Female","Engineering","Kaduna",0.035,75870,2655,78525,"Average"
"Willi Vasey","Female","Support","Kaduna",0.028,43020,1205,44225,"Average"
"Peggi Bullas","Male","Support","Abuja",0.028,56620,1585,58205,"Average"
"Katerine Lohden","Male","Support","Kaduna",0.028,115090,3223,118313,"Average"
"Cull Nannetti","Male","Support","Kaduna",0.028,68090,1907,69997,"Average"
"Aurelea Devitt","Male","Support","Abuja",0.028,58840,1648,60488,"Average"
"Evyn Fyrth","Male","Support","Kaduna",0.028,90080,2522,92602,"Average"
"Garrick Hadwick","Male","Support","Abuja",0.028,117810,3299,121109,"Average"
"Kristofor Powner","Male","Support","Lagos",0.028,69340,1942,71282,"Average"
"Farrel Vanyatin","Male","Support","Lagos",0.028,118120,3307,121427,"Average"
"Koral Gerriet","Male","Support","Abuja",0.028,30080,842,30922,"Average"
"Win Arthurs","Female","Support","Abuja",0.028,43200,1210,44410,"Average"
"Chauncey Schild","Female","Support","Abuja",0.028,107340,3006,110346,"Average"
"Griz Thorington","Male","Support","Abuja",0.028,47670,1335,49005,"Average"
"Foss Asquez","Male","Support","Abuja",0.028,92190,2581,94771,"Average"
"Lia Lurner","Female","Support","Abuja",0.028,77260,2163,79423,"Average"
"Shaylah Owbrick","Male","Support","Abuja",0.028,56900,1593,58493,"Average"
"Janaya MacGinlay","Female","Support","Abuja",0.028,33050,925,33975,"Average"
"Sabina Scorrer","Female","Support","Kaduna",0.028,70930,1986,72916,"Average"
"Nananne Gehringer","Male","Support","Lagos",0.028,104800,2934,107734,"Average"
"Ingunna Wainscoat","Male","Support","Kaduna",0.028,73240,2051,75291,"Average"
"Nolan Tortis","Male","Support","Abuja",0.028,36710,1028,37738,"Average"
"Doralyn Segar","Female","Support","Kaduna",0.028,30000,840,30840,"Average"
"Verla Timmis","Male","Support","Abuja",0.028,54140,1516,55656,"Average"
"Barbara-anne Kenchington","Female","Support","Abuja",0.028,88030,2465,90495,"Average"
"Evangelina Lergan","Male","Support","Kaduna",0.028,61210,1714,62924,"Average"
"Freddie Johnikin","Male","Support","Lagos",0.028,64960,1819,66779,"Average"
"Adela Dowsett","Male","Support","Lagos",0.028,95020,2661,97681,"Average"
"Lorrie Derycot","Female","Support","Lagos",0.028,93270,2612,95882,"Average"
"Clarine Shambrooke","Male","Support","Lagos",0.028,93160,2608,95768,"Average"
"Effie Vasilov","Male","Support","Lagos",0.028,60010,1680,61690,"Average"
"Cyndia Skedge","Male","Support","Abuja",0.028,52630,1474,54104,"Average"
"Maximo Ungerecht","Male","Support","Lagos",0.028,96250,2695,98945,"Average"
"Candace Hanlon","Male","Support","Lagos",0.028,46280,1296,47576,"Average"
"Oby Sorrel","Female","Support","Kaduna",0.028,58940,1650,60590,"Average"
"Hyacinthie Braybrooke","Female","Support","Abuja",0.028,68900,1929,70829,"Average"
"Jamal Beagen","Female","Support","Kaduna",0.028,35830,1003,36833,"Average"
"Sisely Gatsby","Female","Support","Kaduna",0.028,85670,2399,88069,"Average"
"Emmanuel Westrey","Female","Support","Kaduna",0.028,87400,2447,89847,"Average"
"Itch Tinklin","Female","Support","Abuja",0.028,77110,2159,79269,"Average"
"Oby Sorrel","Female","Support","Kaduna",0.028,58940,1650,60590,"Average"
"Kay Edling","Male","Support","Lagos",0.028,38330,1073,39403,"Average"
"Floyd Cowgill","Male","Support","Kaduna",0.028,37060,1038,38098,"Average"
"Elia Cockton","Female","Support","Kaduna",0.028,75280,2108,77388,"Average"
"Beverie Moffet","Female","Support","Kaduna",0.028,75970,2127,78097,"Average"
"Chelsea Itzak","Male","Support","Kaduna",0.028,61100,1711,62811,"Average"
"Shaylyn Ransbury","Female","Support","Abuja",0.028,100370,2810,103180,"Average"
"Adella Hartshorne","Female","Human Resources","Lagos",0.027,41160,1111,42271,"Average"
"Brit Hamnett","Male","Human Resources","Abuja",0.027,75540,2040,77580,"Average"
"Vasily MacVanamy","Male","Human Resources","Lagos",0.027,84470,2281,86751,"Average"
"Robinia Scholling","Female","Human Resources","Kaduna",0.027,100730,2720,103450,"Average"
"Alida Welman","Male","Human Resources","Kaduna",0.027,69860,1886,71746,"Average"
"Brose MacCorkell","Female","Human Resources","Kaduna",0.027,35940,970,36910,"Average"
"Josepha Keningham","Male","Human Resources","Kaduna",0.027,42990,1161,44151,"Average"
"Crawford Scad","Male","Human Resources","Kaduna",0.027,72880,1968,74848,"Average"
"Juditha Hatherleigh","Female","Human Resources","Kaduna",0.027,34830,940,35770,"Average"
"Philis Rowlstone","Female","Human Resources","Lagos",0.027,85740,2315,88055,"Average"
"Crawford Scad","Male","Human Resources","Lagos",0.027,72880,1968,74848,"Average"
"Tadio Audritt","Male","Human Resources","Abuja",0.027,99450,2685,102135,"Average"
"Riccardo Hagan","Male","Human Resources","Abuja",0.027,86560,2337,88897,"Average"
"Joana Bartocci","Male","Human Resources","Kaduna",0.027,52670,1422,54092,"Average"
"Margot Royds","Female","Human Resources","Lagos",0.027,106930,2887,109817,"Average"
"Northrup Aires","Female","Human Resources","Kaduna",0.027,118300,3194,121494,"Average"
"Andrea Becker","Female","Human Resources","Kaduna",0.027,46160,1246,47406,"Average"
"Ardyce Eacott","Female","Human Resources","Kaduna",0.027,92470,2497,94967,"Average"
"Pippy Roxby","Female","Human Resources","Kaduna",0.027,106490,2875,109365,"Average"
"Minetta Parsons","Female","Human Resources","Abuja",0.027,110770,2991,113761,"Average"
"Niles Mahomet","Female","Human Resources","Abuja",0.027,50020,1351,51371,"Average"
"Efrem Mathonnet","Female","Human Resources","Kaduna",0.027,107020,2890,109910,"Average"
"Tyson Prescote","Male","Human Resources","Kaduna",0.027,29420,794,30214,"Average"
"Pembroke Siflet","Female","Human Resources","Abuja",0.027,59550,1608,61158,"Average"
"Royal Nowakowska","Male","Human Resources","Kaduna",0.027,79570,2148,81718,"Average"
"Jo Benoi","Female","Human Resources","Kaduna",0.027,117520,3173,120693,"Average"
"Bette-ann Leafe","Male","Human Resources","Abuja",0.027,93500,2524,96024,"Average"
"Lincoln Greatex","Male","Human Resources","Abuja",0.027,34650,936,35586,"Average"
"Bryant Scamp","Female","Human Resources","Kaduna",0.027,29810,805,30615,"Average"
"Darcy Brewitt","Male","Human Resources","Kaduna",0.027,116670,3150,119820,"Average"
"Hedvige Stelfox","Female","Human Resources","Abuja",0.027,33800,913,34713,"Average"
"Benny Karolovsky","Male","Human Resources","Abuja",0.027,115440,3117,118557,"Average"
"Anjanette Ferre","Male","Human Resources","Abuja",0.027,67960,1835,69795,"Average"
"Krysta Elacoate","Male","Human Resources","Kaduna",0.027,106930,2887,109817,"Average"
"Blythe Clipston","Female","Human Resources","Kaduna",0.027,35670,963,36633,"Average"
"Joana Bartocci","Male","Human Resources","Abuja",0.027,52670,1422,54092,"Average"
"Hinda Label","Female","Human Resources","Kaduna",0.027,92700,2503,95203,"Average"
"Saundra O'Connel","Male","Human Resources","Abuja",0.027,85330,2304,87634,"Average"
"Daisie McNeice","Male","Human Resources","Kaduna",0.027,50310,1358,51668,"Average"
"Corabel Luberto","Female","Human Resources","Kaduna",0.027,57820,1561,59381,"Average"
"Shay Chasney","Male","Human Resources","Lagos",0.027,72550,1959,74509,"Average"
"Cecilla Northen","Male","Human Resources","Abuja",0.027,92870,2507,95377,"Average"
"Monti Burdus","Female","Human Resources","Abuja",0.027,39650,1071,40721,"Average"
"Selby Hacker","Male","Business Development","Lagos",0.024,37800,907,38707,"Average"
"Valentia Etteridge","Female","Business Development","Lagos",0.024,118100,2834,120934,"Average"
"Katya Hundy","Male","Business Development","Lagos",0.024,88510,2124,90634,"Average"
"Wyn Treadger","Female","Business Development","Abuja",0.024,69190,1661,70851,"Average"
"Forester Feakins","Male","Business Development","Abuja",0.024,47290,1135,48425,"Average"
"Duky Wallace","Male","Business Development","Kaduna",0.024,102140,2451,104591,"Average"
