Name,Gender,Department,Location,BonusRate,Salary,BonusAmount,TotalPaid,Rating
Stefa Eggleston,Male,Sales,Kaduna,0.021,"$88,380.","$1,856.","$90,236.",Average
Dorolice Farry,Female,Sales,Kaduna,0.021,"$76,300.","$1,602.","$77,902.",Average
Elliot Tuplin,Female,Sales,Kaduna,0.021,"$44,530.",$935.,"$45,465.",Average
Iain Wiburn,Female,Sales,Kaduna,0.021,"$84,760.","$1,780.","$86,540.",Average
Beatrix Schoales,Male,Sales,Kaduna,0.021,"$114,010.","$2,394.","$116,404.",Average
Dyna Doucette,Male,Sales,Abuja,0.021,"$103,550.","$2,175.","$105,725.",Average
Millie Fiveash,Female,Sales,Kaduna,0.021,"$57,080.","$1,199.","$58,279.",Average
Carry Loblie,Female,Sales,Kaduna,0.021,"$47,550.",$999.,"$48,549.",Average
Isadora Maunsell,Male,Sales,Abuja,0.021,"$78,490.","$1,648.","$80,138.",Average
Florie Tortoise,Female,Sales,Abuja,0.021,"$35,930.",$755.,"$36,685.",Average
Caro Chappel,Female,Sales,Kaduna,0.021,"$104,410.","$2,193.","$106,603.",Average
Alexine Portail,Female,Sales,Lagos,0.021,"$60,330.","$1,267.","$61,597.",Average
Duffie Ibel,Male,Sales,Kaduna,0.021,"$61,010.","$1,281.","$62,291.",Average
Louise Lamming,Female,Sales,Lagos,0.021,"$41,930.",$881.,"$42,811.",Average
Shelley Moncreiffe,Male,Sales,Abuja,0.021,"$108,360.","$2,276.","$110,636.",Average
Brig Dewi,Male,Sales,Lagos,0.021,"$108,250.","$2,273.","$110,523.",Average
Stan Tolliday,Female,Sales,Lagos,0.021,"$39,540.",$830.,"$40,370.",Average
Fidela Artis,Female,Sales,Lagos,0.021,"$78,020.","$1,638.","$79,658.",Average
Putnem Manchester,Male,Sales,Lagos,0.021,"$70,360.","$1,478.","$71,838.",Average
Mariette Daymont,Female,Sales,Abuja,0.021,"$99,530.","$2,090.","$101,620.",Average
Verney Sloegrave,Male,Sales,Kaduna,0.021,"$84,500.","$1,774.","$86,274.",Average
Cathyleen Hurch,Female,Sales,Lagos,0.021,"$49,390.","$1,037.","$50,427.",Average
Joyce Esel,Male,Sales,Kaduna,0.021,"$101,390.","$2,129.","$103,519.",Average
Sandi Labat,Male,Sales,Abuja,0.021,"$60,140.","$1,263.","$61,403.",Average
Francoise Godbold,Male,Sales,Kaduna,0.021,"$46,350.",$973.,"$47,323.",Average
My Hanscome,Male,Sales,Lagos,0.021,"$59,430.","$1,248.","$60,678.",Average
Pauletta Falkus,Male,Sales,Kaduna,0.021,"$33,560.",$705.,"$34,265.",Average
Deck McCallion,Male,Sales,Abuja,0.021,"$33,890.",$712.,"$34,602.",Average
Grady Crosgrove,Male,Sales,Kaduna,0.021,"$77,910.","$1,636.","$79,546.",Average
Antonetta Coggeshall,Male,Sales,Kaduna,0.021,"$96,750.","$2,032.","$98,782.",Average
Estell Kingsland,Male,Sales,Kaduna,0.021,"$32,190.",$676.,"$32,866.",Average
Agnes Collicott,Female,Sales,Abuja,0.021,"$83,750.","$1,759.","$85,509.",Average
Ambros Murthwaite,Male,Sales,Lagos,0.021,"$70,610.","$1,483.","$72,093.",Average
Justino Chapiro,Male,Sales,Lagos,0.021,"$71,030.","$1,492.","$72,522.",Average
Roselle Wandrach,Male,Sales,Abuja,0.021,"$91,310.","$1,918.","$93,228.",Average
Lisle Danahar,Male,Sales,Kaduna,0.021,"$75,990.","$1,596.","$77,586.",Average
Bryana Loyns,Male,Sales,Kaduna,0.021,"$55,280.","$1,161.","$56,441.",Average
Tallie Chaikovski,Male,Sales,Lagos,0.021,"$83,190.","$1,747.","$84,937.",Average
Freda Legan,Female,Sales,Kaduna,0.021,"$102,130.","$2,145.","$104,275.",Average
Fairfax Wallsam,Male,Sales,Abuja,0.021,"$88,590.","$1,860.","$90,450.",Average
Lion Adcock,Female,Legal,Lagos,0.021,"$63,710.","$1,338.","$65,048.",Average
Rhianna McLeoid,Male,Legal,Kaduna,0.021,"$114,900.","$2,413.","$117,313.",Average
Madelene Upcott,Male,Legal,Abuja,0.021,"$109,190.","$2,293.","$111,483.",Average
Steven Labat,Male,Legal,Kaduna,0.021,"$37,110.",$779.,"$37,889.",Average
Lanny Beaney,Male,Legal,Abuja,0.021,"$38,730.",$813.,"$39,543.",Average
Ollie Schirak,Male,Legal,Lagos,0.021,"$48,690.","$1,022.","$49,712.",Average
Desi Peniman,Female,Legal,Lagos,0.021,"$31,090.",$653.,"$31,743.",Average
Mord Cromblehome,Male,Legal,Kaduna,0.021,"$57,910.","$1,216.","$59,126.",Average
Wilt Wayvill,Female,Legal,Kaduna,0.021,"$99,750.","$2,095.","$101,845.",Average
Cathi Gillbee,Male,Legal,Abuja,0.021,"$41,790.",$878.,"$42,668.",Average
Shari Pickston,Male,Legal,Abuja,0.021,"$96,320.","$2,023.","$98,343.",Average
Rodrigo Congdon,Female,Legal,Lagos,0.021,"$117,940.","$2,477.","$120,417.",Average
Loralyn Bruton,Male,Legal,Abuja,0.021,"$39,960.",$839.,"$40,799.",Average
Marline Wahncke,Male,Legal,Abuja,0.021,"$72,840.","$1,530.","$74,370.",Average
Berenice Osbaldstone,Female,Legal,Abuja,0.021,"$58,280.","$1,224.","$59,504.",Average
Carolina Blumsom,Male,Legal,Abuja,0.021,"$28,580.",$600.,"$29,180.",Average
Baudoin Dummigan,Male,Legal,Kaduna,0.021,"$114,510.","$2,405.","$116,915.",Average
Letizia Hasselby,Male,Legal,Abuja,0.021,"$61,790.","$1,298.","$63,088.",Average
Mirna Etoile,Female,Legal,Kaduna,0.021,"$29,970.",$629.,"$30,599.",Average
Derk Bosson,Female,Legal,Lagos,0.021,"$75,870.","$1,593.","$77,463.",Average
Saunders Blumson,Male,Legal,Abuja,0.021,"$56,370.","$1,184.","$57,554.",Average
Xylina Pargetter,Female,Legal,Kaduna,0.021,"$109,790.","$2,306.","$112,096.",Average
Joshia Farris,Female,Legal,Kaduna,0.021,"$36,740.",$772.,"$37,512.",Average
Sandy Cadden,Female,Legal,Lagos,0.021,"$95,980.","$2,016.","$97,996.",Average
Trudie Couch,Female,Legal,Lagos,0.021,"$43,110.",$905.,"$44,015.",Average
Eldredge MacClure,Male,Legal,Kaduna,0.021,"$46,990.",$987.,"$47,977.",Average
Bebe Pollicott,Female,Legal,Kaduna,0.021,"$87,740.","$1,843.","$89,583.",Average
Leela Eckart,Male,Legal,Kaduna,0.021,"$90,340.","$1,897.","$92,237.",Average
Jori Ashleigh,Male,Legal,Abuja,0.021,"$64,270.","$1,350.","$65,620.",Average
Eleni O'Quin,Male,Legal,Lagos,0.021,"$89,020.","$1,869.","$90,889.",Average
Alic Bagg,Male,Legal,Kaduna,0.021,"$113,750.","$2,389.","$116,139.",Average
Karita Vasyanin,Male,Legal,Lagos,0.021,"$93,080.","$1,955.","$95,035.",Average
Sile Whorton,Female,Legal,Abuja,0.021,"$61,210.","$1,285.","$62,495.",Average
Sandie Anthonies,Male,Legal,Kaduna,0.021,"$33,410.",$702.,"$34,112.",Average
Hiram Merkle,Male,Legal,Kaduna,0.021,"$116,090.","$2,438.","$118,528.",Average
Desi Peniman,Female,Legal,Kaduna,0.021,"$31,090.",$653.,"$31,743.",Average
Granny Spencelayh,Male,Legal,Abuja,0.021,"$99,460.","$2,089.","$101,549.",Average
Hedwiga Ingarfield,Female,Legal,Kaduna,0.021,"$38,250.",$803.,"$39,053.",Average
Adey Ryal,Female,Legal,Lagos,0.021,"$32,500.",$682.,"$33,182.",Average
Dyanne Strafen,Male,Engineering,Lagos,0.035,"$113,800.","$3,983.","$117,783.",Average
Mable Phythian,Female,Engineering,Kaduna,0.035,"$30,000.","$1,050.","$31,050.",Average
Konstanze Wyleman,Male,Engineering,Abuja,0.035,"$90,800.","$3,178.","$93,978.",Average
Loren Rettie,Female,Engineering,Kaduna,0.035,"$96,000.","$3,360.","$99,360.",Average
Courtney Given,Male,Engineering,Abuja,0.035,"$43,600.","$1,526.","$45,126.",Average
Angeline Christophersen,Female,Engineering,Kaduna,0.035,"$86,940.","$3,043.","$89,983.",Average
Tamara Couvet,Female,Engineering,Abuja,0.035,"$61,050.","$2,137.","$63,187.",Average
Gigi Bohling,Male,Engineering,Lagos,0.035,"$74,550.","$2,609.","$77,159.",Average
Lane Monteaux,Female,Engineering,Kaduna,0.035,"$109,980.","$3,849.","$113,829.",Average
Honoria Cootes,Female,Engineering,Abuja,0.035,"$115,640.","$4,047.","$119,687.",Average
Violetta Vial,Male,Engineering,Kaduna,0.035,"$68,970.","$2,414.","$71,384.",Average
Luca Wolstenholme,Male,Engineering,Kaduna,0.035,"$53,180.","$1,861.","$55,041.",Average
Ignacio Delion,Female,Engineering,Kaduna,0.035,"$113,690.","$3,979.","$117,669.",Average
Maggee Stiggles,Female,Engineering,Abuja,0.035,"$38,930.","$1,363.","$40,293.",Average
Granville Stetson,Female,Engineering,Lagos,0.035,"$111,190.","$3,892.","$115,082.",Average
Eleonore Airdrie,Female,Engineering,Abuja,0.035,"$97,110.","$3,399.","$100,509.",Average
Devinne Tuny,Male,Engineering,Kaduna,0.035,"$39,970.","$1,399.","$41,369.",Average
Dotty Strutley,Female,Engineering,Lagos,0.035,"$41,980.","$1,469.","$43,449.",Average
Korney Bockings,Male,Engineering,Lagos,0.035,"$40,530.","$1,419.","$41,949.",Average
Kingsley Hagard,Male,Engineering,Kaduna,0.035,"$32,810.","$1,148.","$33,958.",Average
Abran Danielsky,Female,Engineering,Kaduna,0.035,"$32,720.","$1,145.","$33,865.",Average
Nelli Schoolfield,Female,Engineering,Kaduna,0.035,"$109,870.","$3,845.","$113,715.",Average
Abigael Basire,Male,Engineering,Abuja,0.035,"$61,620.","$2,157.","$63,777.",Average
Jehu Rudeforth,Female,Engineering,Abuja,0.035,"$60,130.","$2,105.","$62,235.",Average
Ondrea Banfield,Female,Engineering,Kaduna,0.035,"$107,790.","$3,773.","$111,563.",Average
Jeannie Petracco,Female,Engineering,Abuja,0.035,"$94,820.","$3,319.","$98,139.",Average
Niko MacGille,Female,Engineering,Lagos,0.035,"$88,430.","$3,095.","$91,525.",Average
Eward Astlett,Male,Engineering,Lagos,0.035,"$41,670.","$1,458.","$43,128.",Average
Kelley Rounds,Female,Engineering,Kaduna,0.035,"$114,810.","$4,018.","$118,828.",Average
Allene Gobbet,Female,Engineering,Abuja,0.035,"$78,390.","$2,744.","$81,134.",Average
Jordain Cyster,Female,Engineering,Kaduna,0.035,"$75,870.","$2,655.","$78,525.",Average
Willi Vasey,Female,Support,Kaduna,0.028,"$43,020.","$1,205.","$44,225.",Average
Peggi Bullas,Male,Support,Abuja,0.028,"$56,620.","$1,585.","$58,205.",Average
Katerine Lohden,Male,Support,Kaduna,0.028,"$115,090.","$3,223.","$118,313.",Average
Cull Nannetti,Male,Support,Kaduna,0.028,"$68,090.","$1,907.","$69,997.",Average
Aurelea Devitt,Male,Support,Abuja,0.028,"$58,840.","$1,648.","$60,488.",Average
Evyn Fyrth,Male,Support,Kaduna,0.028,"$90,080.","$2,522.","$92,602.",Average
Garrick Hadwick,Male,Support,Abuja,0.028,"$117,810.","$3,299.","$121,109.",Average
Kristofor Powner,Male,Support,Lagos,0.028,"$69,340.","$1,942.","$71,282.",Average
Farrel Vanyatin,Male,Support,Lagos,0.028,"$118,120.","$3,307.","$121,427.",Average
Koral Gerriet,Male,Support,Abuja,0.028,"$30,080.",$842.,"$30,922.",Average
Win Arthurs,Female,Support,Abuja,0.028,"$43,200.","$1,210.","$44,410.",Average
Chauncey Schild,Female,Support,Abuja,0.028,"$107,340.","$3,006.","$110,346.",Average
Griz Thorington,Male,Support,Abuja,0.028,"$47,670.","$1,335.","$49,005.",Average
Foss Asquez,Male,Support,Abuja,0.028,"$92,190.","$2,581.","$94,771.",Average
Lia Lurner,Female,Support,Abuja,0.028,"$77,260.","$2,163.","$79,423.",Average
Shaylah Owbrick,Male,Support,Abuja,0.028,"$56,900.","$1,593.","$58,493.",Average
Janaya MacGinlay,Female,Support,Abuja,0.028,"$33,050.",$925.,"$33,975.",Average
Sabina Scorrer,Female,Support,Kaduna,0.028,"$70,930.","$1,986.","$72,916.",Average
Nananne Gehringer,Male,Support,Lagos,0.028,"$104,800.","$2,934.","$107,734.",Average
Ingunna Wainscoat,Male,Support,Kaduna,0.028,"$73,240.","$2,051.","$75,291.",Average
Nolan Tortis,Male,Support,Abuja,0.028,"$36,710.","$1,028.","$37,738.",Average
Doralyn Segar,Female,Support,Kaduna,0.028,"$30,000.",$840.,"$30,840.",Average
Verla Timmis,Male,Support,Abuja,0.028,"$54,140.","$1,516.","$55,656.",Average
Barbara-anne Kenchington,Female,Support,Abuja,0.028,"$88,030.","$2,465.","$90,495.",Average
Evangelina Lergan,Male,Support,Kaduna,0.028,"$61,210.","$1,714.","$62,924.",Average
Freddie Johnikin,Male,Support,Lagos,0.028,"$64,960.","$1,819.","$66,779.",Average
Adela Dowsett,Male,Support,Lagos,0.028,"$95,020.","$2,661.","$97,681.",Average
Lorrie Derycot,Female,Support,Lagos,0.028,"$93,270.","$2,612.","$95,882.",Average
Clarine Shambrooke,Male,Support,Lagos,0.028,"$93,160.","$2,608.","$95,768.",Average
Effie Vasilov,Male,Support,Lagos,0.028,"$60,010.","$1,680.","$61,690.",Average
Cyndia Skedge,Male,Support,Abuja,0.028,"$52,630.","$1,474.","$54,104.",Average
Maximo Ungerecht,Male,Support,Lagos,0.028,"$96,250.","$2,695.","$98,945.",Average
Candace Hanlon,Male,Support,Lagos,0.028,"$46,280.","$1,296.","$47,576.",Average
Oby Sorrel,Female,Support,Kaduna,0.028,"$58,940.","$1,650.","$60,590.",Average
Hyacinthie Braybrooke,Female,Support,Abuja,0.028,"$68,900.","$1,929.","$70,829.",Average
Jamal Beagen,Female,Support,Kaduna,0.028,"$35,830.","$1,003.","$36,833.",Average
Sisely Gatsby,Female,Support,Kaduna,0.028,"$85,670.","$2,399.","$88,069.",Average
Emmanuel Westrey,Female,Support,Kaduna,0.028,"$87,400.","$2,447.","$89,847.",Average
Itch Tinklin,Female,Support,Abuja,0.028,"$77,110.","$2,159.","$79,269.",Average
Oby Sorrel,Female,Support,Kaduna,0.028,"$58,940.","$1,650.","$60,590.",Average
Kay Edling,Male,Support,Lagos,0.028,"$38,330.","$1,073.","$39,403.",Average
Floyd Cowgill,Male,Support,Kaduna,0.028,"$37,060.","$1,038.","$38,098.",Average
Elia Cockton,Female,Support,Kaduna,0.028,"$75,280.","$2,108.","$77,388.",Average
Beverie Moffet,Female,Support,Kaduna,0.028,"$75,970.","$2,127.","$78,097.",Average
Chelsea Itzak,Male,Support,Kaduna,0.028,"$61,100.","$1,711.","$62,811.",Average
Shaylyn Ransbury,Female,Support,Abuja,0.028,"$100,370.","$2,810.","$103,180.",Average
Adella Hartshorne,Female,Human Resources,Lagos,0.027,"$41,160.","$1,111.","$42,271.",Average
Brit Hamnett,Male,Human Resources,Abuja,0.027,"$75,540.","$2,040.","$77,580.",Average
Vasily MacVanamy,Male,Human Resources,Lagos,0.027,"$84,470.","$2,281.","$86,751.",Average
Robinia Scholling,Female,Human Resources,Kaduna,0.027,"$100,730.","$2,720.","$103,450.",Average
Alida Welman,Male,Human Resources,Kaduna,0.027,"$69,860.","$1,886.","$71,746.",Average
Brose MacCorkell,Female,Human Resources,Kaduna,0.027,"$35,940.",$970.,"$36,910.",Average
Josepha Keningham,Male,Human Resources,Kaduna,0.027,"$42,990.","$1,161.","$44,151.",Average
Crawford Scad,Male,Human Resources,Kaduna,0.027,"$72,880.","$1,968.","$74,848.",Average
Juditha Hatherleigh,Female,Human Resources,Kaduna,0.027,"$34,830.",$940.,"$35,770.",Average
Philis Rowlstone,Female,Human Resources,Lagos,0.027,"$85,740.","$2,315.","$88,055.",Average
Crawford Scad,Male,Human Resources,Lagos,0.027,"$72,880.","$1,968.","$74,848.",Average
Tadio Audritt,Male,Human Resources,Abuja,0.027,"$99,450.","$2,685.","$102,135.",Average
Riccardo Hagan,Male,Human Resources,Abuja,0.027,"$86,560.","$2,337.","$88,897.",Average
Joana Bartocci,Male,Human Resources,Kaduna,0.027,"$52,670.","$1,422.","$54,092.",Average
Margot Royds,Female,Human Resources,Lagos,0.027,"$106,930.","$2,887.","$109,817.",Average
Northrup Aires,Female,Human Resources,Kaduna,0.027,"$118,300.","$3,194.","$121,494.",Average
Andrea Becker,Female,Human Resources,Kaduna,0.027,"$46,160.","$1,246.","$47,406.",Average
Ardyce Eacott,Female,Human Resources,Kaduna,0.027,"$92,470.","$2,497.","$94,967.",Average
Pippy Roxby,Female,Human Resources,Kaduna,0.027,"$106,490.","$2,875.","$109,365.",Average
Minetta Parsons,Female,Human Resources,Abuja,0.027,"$110,770.","$2,991.","$113,761.",Average
